ITEM,Consumo
02/06/2003,14778.2743932265
03/06/2003,15147.3875428572
04/06/2003,15265.7332864495
05/06/2003,15160.0577461384
06/06/2003,15142.7934208483
07/06/2003,14008.1642162979
08/06/2003,12698.3618245579
09/06/2003,14962.1873562568
10/06/2003,15311.0809253093
11/06/2003,15346.8339046617
12/06/2003,15444.7411876483
13/06/2003,15229.4771182306
14/06/2003,13983.5682342447
15/06/2003,12715.2990409584
16/06/2003,14940.7460321282
17/06/2003,14844.8807502142
18/06/2003,14950.6861460281
19/06/2003,12892.9798210241
20/06/2003,14916.4222348478
21/06/2003,13811.0767718042
22/06/2003,12491.7029670126
23/06/2003,14941.5245923884
24/06/2003,15199.2324832813
25/06/2003,15351.0160190881
26/06/2003,15462.5775157524
27/06/2003,15388.1950614556
28/06/2003,14019.8269432813
29/06/2003,12711.2006725909
30/06/2003,15087.3128030551
01/07/2003,15351.9146153694
02/07/2003,14732.9317497545
03/07/2003,14789.2011560953
04/07/2003,14762.6904405554
05/07/2003,13574.5448231906
06/07/2003,12404.3113967323
07/07/2003,14746.5995833286
08/07/2003,15019.4839982660
09/07/2003,15149.0147342288
10/07/2003,15248.6919085331
11/07/2003,14897.2511472291
12/07/2003,13604.2487907369
13/07/2003,12516.1270033198
14/07/2003,14800.0236030947
15/07/2003,14937.8041394478
16/07/2003,15136.0309214526
17/07/2003,15223.3332914306
18/07/2003,15008.1930944473
19/07/2003,13637.4235635891
20/07/2003,12453.9820595226
21/07/2003,14854.5950243834
22/07/2003,15058.6071808136
23/07/2003,15162.5921128181
24/07/2003,15213.0241419517
25/07/2003,15034.2018512627
26/07/2003,13556.7094748274
27/07/2003,12092.4468515498
28/07/2003,14566.3418648794
29/07/2003,15135.8124529991
30/07/2003,15307.6989893793
31/07/2003,15347.9690348107
01/08/2003,15310.8412562734
02/08/2003,14091.7668599761
03/08/2003,12815.4504412161
04/08/2003,15116.7621156372
05/08/2003,15432.6071788020
06/08/2003,15593.4363730745
07/08/2003,15686.6926460442
08/08/2003,15490.5541705339
09/08/2003,14146.3300627876
10/08/2003,12721.3982722852
11/08/2003,15218.1794823045
12/08/2003,15748.0764426465
13/08/2003,15683.8175488985
14/08/2003,15717.9843670296
15/08/2003,14045.9453071601
16/08/2003,13912.8032118357
17/08/2003,12733.4180500857
18/08/2003,15222.1920603029
19/08/2003,15118.0887845292
20/08/2003,15270.4858397662
21/08/2003,15738.5207034389
22/08/2003,15941.3145353926
23/08/2003,14478.6190369901
24/08/2003,13199.0713174532
25/08/2003,15674.5385870432
26/08/2003,15561.3713254846
27/08/2003,15688.7315635062
28/08/2003,15495.5844104382
29/08/2003,15430.4102230190
30/08/2003,13948.4197203455
31/08/2003,12540.6881056995
01/09/2003,15005.6944679342
02/09/2003,15462.8661315221
03/09/2003,15619.2934180196
04/09/2003,15693.7062622227
05/09/2003,15646.6883847942
06/09/2003,14316.8668530079
07/09/2003,13011.3066412959
08/09/2003,15749.8036015750
09/09/2003,16178.9970396702
10/09/2003,16162.5198215974
11/09/2003,15939.5014603523
